latitude,longitude,cluster_id,student_count,stop_name
,,588,50,BUS BAY-17TH KM
,,589,50,MALLIGAI NAGAR AVE
,,590,50,SRINIVASA NAGAR
,,591,50,VILLIVAKKAM
,,592,50,KAMABAR ARANGAM
,,593,50,AYANAVARAM B.S.
,,594,50,M.G.R.KOYAMBEDU
,,595,50,KOYAMBEDU SCHOOL
,,596,50,THIRUMANGALAM
,,597,50,WEELS INDIA RD.JN.
,,598,50,WATER PIPE THATHANKUPPAM
,,599,50,MALLIGAI NAGAR AVE
,,600,50,BUS BAY-17TH KM
,,601,50,CYCLE SHOP
,,602,50,KAVANGARAI
,,603,50,AAYURVEDA ASHRAMAM
,,604,50,REDHILLS
,,605,50,PAMMADU KULAM RD.JN.
,,606,50,ALAMADHI OLD
,,607,50,DRY CATTLLE FORM
,,608,50,ALAMADHI
,,609,50,AMBEDKAR NAGAR
,,610,50,POOCHIATHIPEDU
,,611,50,GURUVOYAL KARANIBATTAI
,,612,50,GURUVOYAL VILLAGE
,,613,50,SETHUPAKKAM
,,614,50,AGARAM KANDIGAI
,,615,50,TAMARAPAKKAM KOOT RD
,,616,50,M.G.R.KOYAMBEDU
,,617,50,KOYAMBEDU SCHOOL
,,618,50,THIRUMANGALAM
,,619,50,WEELS INDIA RD.JN.
,,620,50,WATER PIPE THATHANKUPPAM
,,621,50,MALLIGAI NAGAR AVE
,,622,50,BUS BAY-17TH KM
,,623,50,CYCLE SHOP
,,624,50,KAVANGARAI
,,625,50,AAYURVEDA ASHRAMAM
,,626,50,REDHILLS
,,627,50,AZHINJIVAKKAM RD.JN.
,,628,50,KUMMANUR
,,629,50,BUDUR
,,630,50,ARUMANDAI RD.JN.
,,631,50,PUDUKUPPAM
,,632,50,GNAYARU
,,633,50,ARANI
,,634,50,AGARAM
,,635,50,CHINNAMBEDU VILLAGE
,,636,50,CHINAMBEDU COLONY
,,637,50,NEW ROAD
,,638,50,THATCHUR ROAD JN
,,639,50,PANJETTI
,,640,50,PERIYAPALAYAM RD JN.
,,641,50,KARANODAI
,,642,50,SHOLAVARAM
,,643,50,SEMILIVARAM
,,644,50,PADIYANALLUR
,,645,50,REDHILLS
,,646,50,AAYURVEDA ASHRAMAM
,,647,50,KAVANGARAI
,,648,50,CYCLE SHOP
,,649,50,BUS BAY-17TH KM
,,650,50,MALLIGAI NAGAR AVE
,,651,50,WATER PIPE THATHANKUPPAM
,,652,50,WEELS INDIA RD.JN.
,,653,50,THIRUMANGALAM
,,654,50,KOYAMBEDU SCHOOL
,,655,50,M.G.R.KOYAMBEDU
,,656,50,KOYAMBEDU MARKET
,,657,50,KOYAMBEDU P.S
,,658,50,KOYAMBEDU SCHOOL
,,659,50,THIRUMANGALAM
,,660,50,WEELS INDIA RD.JN.
,,661,50,WATER PIPE THATHANKUPPAM
,,662,50,MALLIGAI NAGAR AVE
,,663,50,BUS BAY-17TH KM
,,664,50,CYCLE SHOP
,,665,50,KAVANGARAI
,,666,50,AAYURVEDA ASHRAMAM
,,667,50,REDHILLS
,,668,50,PADIYANALLUR
,,669,50,SEMILIVARAM
,,670,50,SHOLAVARAM
,,671,50,KARANODAI
,,672,50,ATHUR
,,673,50,OLD&NEW ERUMAI VETTI PALAYAM
,,674,50,OLD ERUMAI VETTI PALAYAM
,,675,50,NEW ERUMAIVETTIPALAYAM
,,676,50,MAHINDRA IND.PARK
,,677,50,KUTHAMKULAM
,,678,50,PERUVOYAL
,,679,50,PUDUVOYAL
,,680,50,NEW ROAD
,,681,50,THATCHUR ROAD JN
,,682,50,PANJETTI
,,683,50,PERIYAPALAYAM RD JN.
,,684,50,KARANODAI
,,685,50,SHOLAVARAM
,,686,50,SEMILIVARAM
,,687,50,PADIYANALLUR
,,688,50,REDHILLS
,,689,50,AAYURVEDA ASHRAMAM
,,690,50,KAVANGARAI
,,691,50,CYCLE SHOP
,,692,50,BUS BAY-17TH KM
,,693,50,MALLIGAI NAGAR AVE
,,694,50,WATER PIPE THATHANKUPPAM
,,695,50,WEELS INDIA RD.JN.
,,696,50,THIRUMANGALAM
,,697,50,KOYAMBEDU SCHOOL
,,698,50,M.G.R.KOYAMBEDU
,,699,50,M.G.R.KOYAMBEDU
,,700,50,KOYAMBEDU SCHOOL
,,701,50,THIRUMANGALAM
,,702,50,WEELS INDIA RD.JN.
,,703,50,WATER PIPE THATHANKUPPAM
,,704,50,MALLIGAI NAGAR AVE
,,705,50,BUS BAY-17TH KM
,,706,50,MADHAVARAM
,,707,50,MOOLAKADAI
,,708,50,MADHAVARAM POST BOX
,,709,50,MADHAVARAM VILLAGE
,,710,50,"MATHUR RD. JN.,"
,,711,50,VADAPERUMBAKKAM
,,712,50,GRAND LINE
,,713,50,REDHILLS
,,714,50,PADIYANALLUR
,,715,50,SEMILIVARAM
,,716,50,SHOLAVARAM
,,717,50,SHOZHIPALAYAM
,,718,50,ORAKKADU
,,719,50,BUDUR
,,720,50,ARUMANDAI RD.JN.
,,721,50,PUDUKUPPAM
,,722,50,GNAYARU
,,723,50,PADIYANALLUR
,,724,50,REDHILLS
,,725,50,AAYURVEDA ASHRAMAM
,,726,50,KAVANGARAI
,,727,50,CYCLE SHOP
,,728,50,BUS BAY-17TH KM
,,729,50,MALLIGAI NAGAR AVE
,,730,50,WATER PIPE THATHANKUPPAM
,,731,50,WEELS INDIA RD.JN.
,,732,50,THIRUMANGALAM
,,733,50,KOYAMBEDU SCHOOL
,,734,50,M.G.R.KOYAMBEDU
,,735,50,SEEMAVARAM
,,736,50,CHINNAMADIYOOR
,,737,50,THANDAVARAYAN PALAYAM
,,738,50,KANNIAMPALAYAM
,,739,50,PUDUKUPPAM
,,740,50,NERKUNDRAM
,,741,50,SOTHUPERMEDU
,,742,50,KARANODAI SCHOOL
,,743,50,SHOLAVARAM P.S.
,,744,50,SEMILIVARAM
,,745,50,PADIYANALLUR
,,746,50,REDHILLS
,,747,50,AAYURVEDA ASHRAMAM
,,748,50,KAVANGARAI
,,749,50,CYCLE SHOP
,,750,50,BUS BAY-17TH KM
,,751,50,MALLIGAI NAGAR AVE
,,752,50,WATER PIPE THATHANKUPPAM
,,753,50,WEELS INDIA RD.JN.
,,754,50,THIRUMANGALAM
,,755,50,KOYAMBEDU SCHOOL
,,756,50,KOYAMBEDU P.S
,,757,50,KOYAMBEDU MARKET
,,758,50,TAMBARAM
,,759,50,IRUMBULIYUR
,,760,50,PERUNGALATHUR
,,761,50,VANDALUR GATE
,,762,50,VANDALUR ZOO
,,763,50,URAPAKKAM
,,764,50,PALAKKA COMPANY
,,765,50,GUDUVANCHERY
,,766,50,THAILAPURAM
,,767,50,MARAIMALAI NAGAR
,,768,50,PAVENTHER SALAI
,,769,50,MARAIMALAI NAGAR P.S.JN.
,,770,50,GUDALOOR TEA SHOP
,,771,50,KARUNEELAM ROAD JN
