MTC Bus Route Options
==================================================

1. Value: '1' | Text: '--Route--'
383. Value: '579A' | Text: '579A'
384. Value: '579C' | Text: '579C'
385. Value: '579K' | Text: '579K'
386. Value: '57A' | Text: '57A'
387. Value: '57B' | Text: '57B'
388. Value: '57CCT' | Text: '57CCT'
389. Value: '57D' | Text: '57D'
390. Value: '57E' | Text: '57E'
391. Value: '57F' | Text: '57F'
392. Value: '57G' | Text: '57G'
393. Value: '57H' | Text: '57H'
394. Value: '57J' | Text: '57J'
395. Value: '57M' | Text: '57M'
396. Value: '57X' | Text: '57X'
397. Value: '580' | Text: '580'
398. Value: '580A' | Text: '580A'
399. Value: '580M' | Text: '580M'
400. Value: '583' | Text: '583'
401. Value: '583A' | Text: '583A'
402. Value: '583C' | Text: '583C'
403. Value: '583D' | Text: '583D'
404. Value: '583K' | Text: '583K'
405. Value: '588' | Text: '588'
406. Value: '58V' | Text: '58V'
407. Value: '59' | Text: '59'
408. Value: '591' | Text: '591'
409. Value: '591C' | Text: '591C'
410. Value: '592' | Text: '592'
411. Value: '592V' | Text: '592V'
412. Value: '593CT' | Text: '593CT'
413. Value: '595' | Text: '595'
414. Value: '597' | Text: '597'
415. Value: '597A' | Text: '597A'
416. Value: '597C' | Text: '597C'
417. Value: '597CET' | Text: '597CET'
418. Value: '5B' | Text: '5B'
419. Value: '5C' | Text: '5C'
420. Value: '5E' | Text: '5E'
421. Value: '5G' | Text: '5G'
422. Value: '5S' | Text: '5S'
423. Value: '6' | Text: '6'
424. Value: '60' | Text: '60'
425. Value: '60A' | Text: '60A'
426. Value: '60D' | Text: '60D'
427. Value: '60E' | Text: '60E'
428. Value: '60G' | Text: '60G'
429. Value: '60H' | Text: '60H'
430. Value: '61A' | Text: '61A'
431. Value: '61C' | Text: '61C'
432. Value: '61E' | Text: '61E'
433. Value: '61K' | Text: '61K'
434. Value: '61R' | Text: '61R'
435. Value: '62' | Text: '62'
436. Value: '62A' | Text: '62A'
437. Value: '62B' | Text: '62B'
438. Value: '62CT' | Text: '62CT'
439. Value: '62M' | Text: '62M'
440. Value: '63' | Text: '63'
441. Value: '64C' | Text: '64C'
442. Value: '64D' | Text: '64D'
443. Value: '64K' | Text: '64K'
444. Value: '64KET' | Text: '64KET'
445. Value: '64M' | Text: '64M'
446. Value: '65A' | Text: '65A'
447. Value: '65B' | Text: '65B'
448. Value: '65CCT' | Text: '65CCT'
449. Value: '65D' | Text: '65D'
450. Value: '65E' | Text: '65E'
451. Value: '65G' | Text: '65G'
452. Value: '65H' | Text: '65H'
453. Value: '65K' | Text: '65K'
454. Value: '66' | Text: '66'
455. Value: '66A' | Text: '66A'
456. Value: '66K' | Text: '66K'
457. Value: '66M' | Text: '66M'
458. Value: '66P' | Text: '66P'
459. Value: '66PX' | Text: '66PX'
460. Value: '6D' | Text: '6D'
461. Value: '6DET' | Text: '6DET'
462. Value: '70' | Text: '70'
463. Value: '70A' | Text: '70A'
464. Value: '70ACT' | Text: '70ACT'
465. Value: '70C' | Text: '70C'
466. Value: '70CCT' | Text: '70CCT'
467. Value: '70E' | Text: '70E'
468. Value: '70F' | Text: '70F'
469. Value: '70G' | Text: '70G'
470. Value: '70H' | Text: '70H'
471. Value: '70J' | Text: '70J'
472. Value: '70K' | Text: '70K'
473. Value: '70LCT' | Text: '70LCT'
474. Value: '70M' | Text: '70M'
475. Value: '70N' | Text: '70N'
476. Value: '70T' | Text: '70T'
477. Value: '70V' | Text: '70V'
478. Value: '71D' | Text: '71D'
479. Value: '71E' | Text: '71E'
480. Value: '71H' | Text: '71H'
481. Value: '71V' | Text: '71V'
482. Value: '72' | Text: '72'
483. Value: '72CT' | Text: '72CT'
484. Value: '72M' | Text: '72M'
485. Value: '73' | Text: '73'
486. Value: '73A' | Text: '73A'
487. Value: '73C' | Text: '73C'
488. Value: '73CT' | Text: '73CT'
489. Value: '76' | Text: '76'
490. Value: '76B' | Text: '76B'
491. Value: '77' | Text: '77'
492. Value: '77A' | Text: '77A'
493. Value: '77B' | Text: '77B'
494. Value: '77CT' | Text: '77CT'
495. Value: '77E' | Text: '77E'
496. Value: '77FCT' | Text: '77FCT'
497. Value: '77K' | Text: '77K'
498. Value: '77M' | Text: '77M'
499. Value: '77P' | Text: '77P'
500. Value: '77T' | Text: '77T'
501. Value: '77V' | Text: '77V'
502. Value: '77VET' | Text: '77VET'
503. Value: '78' | Text: '78'
504. Value: '79A' | Text: '79A'
505. Value: '79V' | Text: '79V'
506. Value: '7E' | Text: '7E'
507. Value: '7H' | Text: '7H'
508. Value: '7K' | Text: '7K'
509. Value: '7M' | Text: '7M'
510. Value: '7MET' | Text: '7MET'
511. Value: '88C' | Text: '88C'
512. Value: '88CET' | Text: '88CET'
513. Value: '88D' | Text: '88D'
514. Value: '88K' | Text: '88K'
515. Value: '88KET' | Text: '88KET'
516. Value: '88L' | Text: '88L'
517. Value: '88M' | Text: '88M'
518. Value: '88R' | Text: '88R'
519. Value: '89' | Text: '89'
520. Value: '89A' | Text: '89A'
521. Value: '89T' | Text: '89T'
522. Value: '89TCT' | Text: '89TCT'
523. Value: '8ACT' | Text: '8ACT'
524. Value: '8B' | Text: '8B'
525. Value: '91' | Text: '91'
526. Value: '91A' | Text: '91A'
527. Value: '91R' | Text: '91R'
528. Value: '91V' | Text: '91V'
529. Value: '95' | Text: '95'
530. Value: '95X' | Text: '95X'
531. Value: '95XCT' | Text: '95XCT'
532. Value: '99' | Text: '99'
533. Value: '99A' | Text: '99A'
534. Value: '99C' | Text: '99C'
535. Value: '99X' | Text: '99X'
536. Value: '9M' | Text: '9M'
537. Value: '9MET' | Text: '9MET'
538. Value: 'A1' | Text: 'A1'
539. Value: 'A1ET' | Text: 'A1ET'
540. Value: 'A45B' | Text: 'A45B'
541. Value: 'A47' | Text: 'A47'
542. Value: 'A51' | Text: 'A51'
543. Value: 'B70CT' | Text: 'B70CT'
544. Value: 'C33' | Text: 'C33'
545. Value: 'C56C' | Text: 'C56C'
546. Value: 'C56CET' | Text: 'C56CET'
547. Value: 'C64' | Text: 'C64'
548. Value: 'D51ET' | Text: 'D51ET'
549. Value: 'D70' | Text: 'D70'
550. Value: 'D70CT' | Text: 'D70CT'
551. Value: 'D70X' | Text: 'D70X'
552. Value: 'E18' | Text: 'E18'
553. Value: 'E51' | Text: 'E51'
554. Value: 'F70' | Text: 'F70'
555. Value: 'G18' | Text: 'G18'
556. Value: 'J51' | Text: 'J51'
557. Value: 'J66' | Text: 'J66'
558. Value: 'M1' | Text: 'M1'
559. Value: 'M18' | Text: 'M18'
560. Value: 'M18C' | Text: 'M18C'
561. Value: 'M18G' | Text: 'M18G'
562. Value: 'M19B' | Text: 'M19B'
563. Value: 'M1A' | Text: 'M1A'
564. Value: 'M27' | Text: 'M27'
565. Value: 'M51' | Text: 'M51'
566. Value: 'M51D' | Text: 'M51D'
567. Value: 'M51DCT' | Text: 'M51DCT'
568. Value: 'M51R' | Text: 'M51R'
569. Value: 'M51V' | Text: 'M51V'
570. Value: 'M51VC' | Text: 'M51VC'
571. Value: 'M52ET' | Text: 'M52ET'
572. Value: 'M60' | Text: 'M60'
573. Value: 'M70' | Text: 'M70'
574. Value: 'M88' | Text: 'M88'
575. Value: 'M88ET' | Text: 'M88ET'
576. Value: 'M88T' | Text: 'M88T'
577. Value: 'MAA1' | Text: 'MAA1'
578. Value: 'MAA2' | Text: 'MAA2'
579. Value: 'N45B' | Text: 'N45B'
580. Value: 'S1' | Text: 'S1'
581. Value: 'S100' | Text: 'S100'
582. Value: 'S11' | Text: 'S11'
583. Value: 'S12' | Text: 'S12'
584. Value: 'S13' | Text: 'S13'
585. Value: 'S145' | Text: 'S145'
586. Value: 'S14M' | Text: 'S14M'
587. Value: 'S15' | Text: 'S15'
588. Value: 'S165' | Text: 'S165'
589. Value: 'S166' | Text: 'S166'
590. Value: 'S167' | Text: 'S167'
591. Value: 'S169' | Text: 'S169'
592. Value: 'S17' | Text: 'S17'
593. Value: 'S18D' | Text: 'S18D'
594. Value: 'S18K' | Text: 'S18K'
595. Value: 'S19' | Text: 'S19'
596. Value: 'S2' | Text: 'S2'
597. Value: 'S20' | Text: 'S20'
598. Value: 'S21C' | Text: 'S21C'
599. Value: 'S22' | Text: 'S22'
600. Value: 'S23' | Text: 'S23'
601. Value: 'S24' | Text: 'S24'
602. Value: 'S25' | Text: 'S25'
603. Value: 'S25A' | Text: 'S25A'
604. Value: 'S26' | Text: 'S26'
605. Value: 'S27' | Text: 'S27'
606. Value: 'S28' | Text: 'S28'
607. Value: 'S30' | Text: 'S30'
608. Value: 'S30CT' | Text: 'S30CT'
609. Value: 'S30K' | Text: 'S30K'
610. Value: 'S31' | Text: 'S31'
611. Value: 'S35' | Text: 'S35'
612. Value: 'S36' | Text: 'S36'
613. Value: 'S3X' | Text: 'S3X'
614. Value: 'S4' | Text: 'S4'
615. Value: 'S40' | Text: 'S40'
616. Value: 'S41' | Text: 'S41'
617. Value: 'S42' | Text: 'S42'
618. Value: 'S43' | Text: 'S43'
619. Value: 'S44' | Text: 'S44'
620. Value: 'S45' | Text: 'S45'
621. Value: 'S47' | Text: 'S47'
622. Value: 'S47M' | Text: 'S47M'
623. Value: 'S48' | Text: 'S48'
624. Value: 'S5' | Text: 'S5'
625. Value: 'S50' | Text: 'S50'
626. Value: 'S51' | Text: 'S51'
627. Value: 'S52' | Text: 'S52'
628. Value: 'S53' | Text: 'S53'
629. Value: 'S55' | Text: 'S55'
630. Value: 'S55W' | Text: 'S55W'
631. Value: 'S56' | Text: 'S56'
632. Value: 'S58' | Text: 'S58'
633. Value: 'S59' | Text: 'S59'
634. Value: 'S6' | Text: 'S6'
635. Value: 'S60' | Text: 'S60'
636. Value: 'S62' | Text: 'S62'
637. Value: 'S63' | Text: 'S63'
638. Value: 'S64' | Text: 'S64'
639. Value: 'S66' | Text: 'S66'
640. Value: 'S67' | Text: 'S67'
641. Value: 'S69' | Text: 'S69'
642. Value: 'S70K' | Text: 'S70K'
643. Value: 'S73' | Text: 'S73'
644. Value: 'S74' | Text: 'S74'
645. Value: 'S75' | Text: 'S75'
646. Value: 'S80' | Text: 'S80'
647. Value: 'S81' | Text: 'S81'
648. Value: 'S82' | Text: 'S82'
649. Value: 'S83' | Text: 'S83'
650. Value: 'S84' | Text: 'S84'
651. Value: 'S86' | Text: 'S86'
652. Value: 'S87' | Text: 'S87'
653. Value: 'S88A' | Text: 'S88A'
654. Value: 'S90' | Text: 'S90'
655. Value: 'S94' | Text: 'S94'
656. Value: 'S95' | Text: 'S95'
657. Value: 'S97' | Text: 'S97'
658. Value: 'S98' | Text: 'S98'
659. Value: 'SC1' | Text: 'SC1'
660. Value: 'SM1CT' | Text: 'SM1CT'
661. Value: 'T23C' | Text: 'T23C'
662. Value: 'T29' | Text: 'T29'
663. Value: 'T29C' | Text: 'T29C'
664. Value: 'V51' | Text: 'V51'
