cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students,user_ids
649,13.1521832,80.1307913,13.1315489,80.1276885,Chennai - Tiruttani - Renigunta Road,highway,389722996,2318.9,1,5411
650,13.0732558,80.19116799999999,13.0739326,80.1907861,EVR Periyar Salai,arterial,59294074,85.88,1,6390
651,13.096420941339629,80.19885124404146,13.0964399,80.1987779,Jawaharlal Nehru Road (100 Feet Road),arterial,32520581,8.22,1,7284
652,13.137343561127476,80.2802677716876,13.1370873,80.2812225,Ennore High Road,arterial,34634447,107.24,1,1814
653,12.91791784875288,80.15410911429672,12.9228958,80.1528405,Velachery Mudhanmai Salai,arterial,1148733672,570.34,1,2837
654,13.046482200653712,80.24262839490486,13.0464626,80.2426329,Gopathi Narayanaswami Road,arterial,489987389,2.23,1,7459
655,13.1689063,79.8632834,13.1525433,79.8565795,Chennai Tirupati Highway,highway,1231867877,1958.93,1,1174
656,13.08953141266803,80.05738225214354,13.089571,80.0572478,ORR Service Road,arterial,1075752787,15.21,1,7110
657,13.088680537983748,80.11694577453544,13.0885284,80.1229024,Thiruverkadu - Ambattur Road,arterial,1347596044,645.36,1,2069
658,13.090026190205002,79.90727103290544,13.0890774,79.9078062,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,120.37,2,"3873,7275"
659,12.96076075276307,80.13397978184528,12.960745,80.1340036,Tiruneermalai Main Road,arterial,23648219,3.12,1,4765
660,13.078065381052882,80.24661693806254,13.0780203,80.2463862,EVR Periyar Salai,arterial,1149819100,25.49,2,"6305,671"
661,12.615992253428647,79.75961350508118,12.6152931,79.7596741,Bukkathurai - Uthiramerur Road,arterial,84658230,78.02,2,"2846,3107"
662,12.955678881150911,79.94515049830797,12.9557205,79.9451184,Tambaram - Mudichur - Sriperumbudur Road,arterial,1188091935,5.79,1,3912
663,13.1368665960796,80.15970410569976,13.1313353,80.160833,Unnamed primary Road,arterial,1189082512,627.08,2,"7115,5623"
664,13.147203,80.1880296,13.1472607,80.188833,Unnamed primary Road,arterial,1118335025,87.23,1,339
665,12.4982208,80.082302,12.5250967,80.0765683,Pudupattinam Road,arterial,830624344,3052.59,1,3902
666,13.003679265075188,79.67428754986574,13.0041055,79.6745863,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,22832404,57.39,1,7609
667,13.1258,80.010241,13.1258206,80.0101044,Chennai Tirupati Highway,highway,1119111091,14.97,1,6479
668,13.19223135,80.18501760000001,13.1920312,80.185202,Grand Northern Trunk Road (Old NH5),arterial,31020302,29.9,2,"4800,71"
669,13.207273380760723,80.31565337800927,13.2072095,80.3155623,Chennai - Ennore Road,arterial,29202113,12.15,1,6235
670,13.40688261257331,80.12323305556916,13.4071604,80.1234219,Unnamed primary Road,arterial,1287923959,37.03,1,3652
671,12.9432398,80.06819209999999,12.9439014,80.0689105,Darkas Road,arterial,30119311,107.11,1,7329
