stop_id,stop_name,latitude,longitude,num_students,is_depot,is_school
S154,Pickup Stop 154,13.1112241,80.1087043,16,False,False
S155,Pickup Stop 155,13.1489467,80.1041817,3,False,False
S156,Pickup Stop 156,13.0066442,80.24615,5,False,False
S157,Pickup Stop 157,12.990266,80.1983434,20,False,False
S158,Pickup Stop 158,13.1047646,80.1531682,8,False,False
S159,Pickup Stop 159,13.0956267,80.2926528,7,False,False
S160,Pickup Stop 160,13.1139891,80.2351816,19,False,False
S161,Pickup Stop 161,12.9577196,80.127177,8,False,False
S162,Pickup Stop 162,13.0861659,80.18815,29,False,False
S163,Pickup Stop 163,13.047624,80.1202266,16,False,False
S164,Pickup Stop 164,13.1302579,80.1579369,20,False,False
S165,Pickup Stop 165,13.122126,80.1473929,38,False,False
S166,Pickup Stop 166,12.9406188,80.1827273,6,False,False
S167,Pickup Stop 167,13.0531773,80.2717407,11,False,False
S168,Pickup Stop 168,13.0151619,80.1299135,6,False,False
S169,Pickup Stop 169,13.1391984,80.2274981,9,False,False
S170,Pickup Stop 170,13.0270889,80.2599259,9,False,False
S171,Pickup Stop 171,13.0678104,80.2269115,22,False,False
S172,Pickup Stop 172,13.1261257,79.9937592,5,False,False
S173,Pickup Stop 173,13.045663,80.0798683,6,False,False
S174,Pickup Stop 174,12.9224803,80.1399188,13,False,False
S175,Pickup Stop 175,12.9770792,80.0513148,2,False,False
S176,Pickup Stop 176,13.1245513,80.0267371,6,False,False
S177,Pickup Stop 177,13.2029901,80.1759665,6,False,False
S178,Pickup Stop 178,13.3400979,80.1875609,2,False,False
S179,Pickup Stop 179,12.9814436,80.2592991,7,False,False
S180,Pickup Stop 180,13.0478205,80.2030528,14,False,False
S181,Pickup Stop 181,12.7494339,79.6754962,2,False,False
S182,Pickup Stop 182,13.1233699,80.2228531,31,False,False
S183,Pickup Stop 183,12.8389849,79.7190597,4,False,False
S184,Pickup Stop 184,13.1193384,80.0945052,24,False,False
S185,Pickup Stop 185,13.1250972,80.2901414,15,False,False
S186,Pickup Stop 186,12.9743556,80.1354368,21,False,False
S187,Pickup Stop 187,12.8874935,80.1731108,2,False,False
S188,Pickup Stop 188,13.0282551,80.151315,8,False,False
S189,Pickup Stop 189,12.9551707,80.1555348,10,False,False
S190,Pickup Stop 190,13.0573302,80.2417428,11,False,False
S191,Pickup Stop 191,13.0649161,80.1721712,9,False,False
S192,Pickup Stop 192,12.9161916,80.064586,3,False,False
S193,Pickup Stop 193,13.0370201,80.0880854,11,False,False
S194,Pickup Stop 194,12.8180719,79.7326585,7,False,False
S195,Pickup Stop 195,13.075789,80.2681402,9,False,False
S196,Pickup Stop 196,13.117585,80.1980171,13,False,False
S197,Pickup Stop 197,13.1308106,80.2513305,11,False,False
S198,Pickup Stop 198,12.9208643,80.0897264,20,False,False
S199,Pickup Stop 199,13.0811279,80.165092,30,False,False
S200,Pickup Stop 200,13.1307532,80.1347223,6,False,False
S201,Pickup Stop 201,13.0601703,80.1956371,19,False,False
S202,Pickup Stop 202,13.0093775,79.997444,8,False,False
S203,Pickup Stop 203,13.088607,80.2635124,10,False,False
S204,Pickup Stop 204,12.798914,80.0227695,3,False,False
S205,Pickup Stop 205,13.0073884,80.1988454,5,False,False
S206,Pickup Stop 206,12.8414097,80.0616652,3,False,False
