cluster_id,latitude,longitude,student_count,avg_distance_km,max_distance_km,nearest_stop_distance_km
253,13.082824406022286,80.17130485624114,19,0.2077097521312486,0.507551353606278,0.6996634084657509
78,12.82293213497093,79.72050349636712,7,0.48852603388610755,1.0098739680866304,1.0893974348110167
80,12.976920262945178,80.12906843399699,17,0.465321775112933,1.1773267513254833,1.346303379519973
81,13.132692369246554,79.92464923903647,9,0.6294976189497539,0.953626890166197,1.6953848601016335
82,12.794254510962846,79.8192661713,6,0.5159946179487981,0.9193907479892327,5.654111562818272
83,13.132956422640337,80.25559296154334,15,0.5639845389324528,1.1151458008892918,1.3844994854206887
84,13.163378133333334,80.12551283333333,3,1.4634898778976548,1.6445424750363562,2.94810985908534
85,13.032282699235816,80.16341557284117,23,0.3744036015920923,0.9479673065646934,1.144808015348379
86,13.09887039607387,80.19053860054966,11,0.3898479477623257,0.9412916337059922,1.2813129815800486
87,12.862593967498347,80.07176165260402,16,0.5750214751712893,1.0288865912735388,2.5272456118641347
88,12.954016709804572,80.04390282832937,3,1.0306682276939396,1.1427890470546387,5.153893879577488
89,13.039698917773027,80.27254798604517,8,0.5695839083410552,0.9237508696294923,1.0679310966084337
90,12.980928788902201,80.25872204561989,8,0.5020907146809487,0.9964756931443981,2.090004453667498
91,13.128532786398832,80.23590516412229,17,0.6681954248642938,1.0204638605821543,1.4722314765616678
93,13.319447566631249,80.18267124886226,5,0.05393014317152026,0.12926055466234096,2.4481883147065595
94,13.053576365398094,80.12721180727827,9,0.5447063432931223,1.0910503406633374,1.3779147406991885
95,13.008904766666667,80.00472646666667,5,1.0631244094903736,2.543363054486648,6.322728143666522
96,12.977806673418916,80.22312327924145,19,0.508941377358871,1.2654032651761784,2.0166306581570073
97,13.165257983604404,80.25334194308714,15,0.5705744624550945,0.9115704894733877,2.162597978168715
98,13.08606658141223,80.26533222052197,10,0.828450080109332,1.4270904174047812,1.6069997420384352
99,13.041377651730471,80.1747029932858,30,0.3883256444130837,1.1764393438361838,1.5847370013345845
102,13.12945626924418,80.15823166555714,30,0.37147038226182644,1.1361206430831021,1.0315655098918608
103,13.011207554309266,80.12369097442469,14,0.7983416773591624,1.5392863872463798,2.122288008860292
107,12.889568541165108,80.14074312558145,5,0.27800402793000245,0.693893785317866,2.191228234713031
108,12.93605275286817,80.17433977619879,6,0.7814333640872055,1.1596357891536777,1.4061209891441016
109,12.783797087126363,79.6771047541334,6,1.3200021681509304,4.107166770993311,4.097615954532159
110,13.0560816374869,80.19654785957347,28,0.45701414105434474,0.8378649945085715,1.4790074913092262
111,13.070250467062221,79.6708515148984,11,0.47857266597801246,0.8161285490174078,2.5406440757001567
112,13.11959484158196,80.06784026189695,11,1.0620094431282703,3.5139845646099124,1.7904735934360152
113,12.976696666632145,80.1852404287874,24,0.5304716093967322,1.0134295883640894,1.9356784594935732
114,13.085660824966059,79.90820144178348,10,0.7129192128885063,3.034988853569314,2.4000105579410724
115,12.88532291378153,80.02140801478866,7,1.5960463771397742,9.32181355897937,3.518620029527438
254,13.122611075836666,80.22374583305455,25,0.21721325136159148,0.7306827727183107,0.69335541147329
255,13.117725875,80.21974023749999,8,0.14963689678365935,0.5919567195973094,0.69335541147329
117,13.185882075895158,80.31023535300676,14,0.86252431428447,3.9429212987764934,1.7801597859727216
118,13.013243035654748,80.20309280684886,10,0.7490065030366624,1.2615406185533116,2.011343240630907
119,13.148405464038458,80.29860554998736,8,0.25308566839718777,0.4876037483545242,1.5355504874304773
120,12.847606150181923,79.69651030118861,17,1.057423356606083,6.317543583189404,1.537264384686048
121,12.964402421858036,80.14593615707773,14,0.6012975428152822,0.9906762924632612,1.6906501171052086
122,13.113954807576661,80.2395980157555,23,0.49938734470793256,1.089293016183911,1.437490068469605
123,13.053835079322946,80.23916750301294,12,0.4692928784647037,0.8958901396896993,2.020317762753933
126,13.146910340743414,79.89597457719523,9,3.385476601706359,16.314237411825015,1.761686977635359
127,13.100401834677468,79.65451548399604,15,0.7773990809575917,4.232610231834773,1.262195480473648
128,12.936438091629663,80.12908056047097,12,0.48727979968566676,1.0658945141094947,1.2754855858438898
130,13.053287112911471,80.09954365184379,10,0.5452679493830487,0.7337971480418178,1.4734104729261837
256,13.086658794134388,80.19197076033514,23,0.23502414644342443,0.5322559791696063,0.7213390945593345
257,13.08909746160609,80.19813957172651,9,0.48946543185668495,0.8146048475481024,0.7213390945593345
133,13.103730251529909,80.27828810806558,14,0.4322981133641028,0.7518144619855931,1.3338413293224758
134,13.009156182884563,80.2448229399435,4,0.4809373846411078,0.9611942796036891,2.1510562609676667
135,13.103515322541814,80.25404020236563,19,0.6136796390556215,0.9166208631636584,1.9458820465860975
137,13.030534351495158,80.1530132627669,10,0.3895006358585783,0.6055881391321091,1.144808015348379
138,12.842093287867678,80.06148959739359,11,0.9699570278604311,2.534030317536555,2.5272456118641347
